Service;Subservice;Area Of Service ;Provinsi;Kab/Kota (Edit);Clnt Id;Clnt Name;Appl Id;Request Reference;Status Simf;Channel;Freq;Freq_Pair;Bwidth;Erp Pwr Dbm;Curr Lic Num;Site Id;Stn Name;Stn Addr;Sid Lat;Sid Long;License Date ;Validity Date ;Ap Id;Tcs Id;Efl Id;Stasiun Lawan;Kab/Kota;NAMA UNIT PELAKSANA TEKNIS;BAND;15 Pita
Land Mobile (private);Standard;JALAN UDANG NO. 12 KELURAHAN BALI, DOMPU, DOMPU, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;00117600;DUNIA MAS, PT.;034191032021;1077742;Granted;;167.3;167.3;16;36.9897;02429990-000SU/0620212026;0001;HT. 01 BERGERAK DISEKITAR KELURAHAN BALI;JALAN UDANG NO. 12 KELURAHAN BALI;-8.53680833;118.45816389;08/03/2021;07/03/2026;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JALAN LINTAS SUMBAWA KECAMATAN MANGGELEWA, DOMPU, MANGGALEWA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;00117604;SINAR AGRO GEMILANG INDAH, PT.;034290032021;1078570;Granted;;354.825;354.825;16;36.9897;02431023-000SU/0620212026;0002;HT. 02-10 BERGERAK DISEKITAR KECAMATAN MANGGELEWA;JALAN LINTAS SUMBAWA KECAMATAN MANGGELEWA;-8.53789167;118.30582778;10/03/2021;09/03/2026;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;DESA BERINGIN JAYA KECAMATAN PEKAT, DOMPU, PEKAT, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;00104530;SUKSES MANTAP SEJAHTERA, PT.;031578082017;0487562;Granted;;155.5;160.5;16;36.9897;01956299-000SU/0620172022;0003;HT. 01-30 PEKAT DAN SEKITARNYA;DESA BERINGIN JAYA KECAMATAN PEKAT;-8.28768056;117.76655556;07/09/2017;05/09/2027;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Aeronautical;Ground-To-Air;Kecamatan Hu'u, Kabupaten Dompu, Nusa Tenggara Barat,DOMPU,HU'U,NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;00102812;SUMBAWA TIMUR MINING, PT.;00142032024;1067/DU/SDPPI/2024;Granted;;129.65;;0;39.0309;;0001;HUU MINING RADIO;Kecamatan Hu'u, Kabupaten Dompu, Nusa Tenggara Barat;-8.75531667;118.41713889;21/03/2024;21/03/2029;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;VHF;2. Penerbangan VHF (108 – 137 MHz)
Land Mobile (public);Trunking;KAMPUNG DOROFANDA KEC HU'U KAB DOMPU HU'U NUSA TENGGARA BARAT, HU'U DOMPU NUSA TENGGARA BARAT,DOMPU,HU'U,NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;103031;NEXCOM INDONESIA, PT.;10142137072023;2354991;Granted;;421.3875;411.3875;12.5;46.9794;02738431-000SU/2620232028;0001;BS.02 DOROFANDA;KAMPUNG DOROFANDA KEC HU'U KAB DOMPU HU'U NUSA TENGGARA BARAT, HU'U DOMPU NUSA TENGGARA BARAT;-8.83936389;118.453075;04/08/2023;02/08/2028;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (public);Trunking;KAMPUNG MADADUE DESA DAHA KECAMATAN HU'U KABUPATEN DOMPU HU'U 84211 DOMPU NUSA TENGGARA BARAT HU'U DOMPU NUSA TENGGARA BARAT,DOMPU,HU'U,NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;103031;NEXCOM INDONESIA, PT.;10142138072023;2355005;Prelim. Canceled;;424.3875;414.3875;12.5;46.9794;02738434-000SU/2620232028;0001;BS.02 MADADUE;KAMPUNG MADADUE DESA DAHA KECAMATAN HU'U KABUPATEN DOMPU HU'U 84211 DOMPU NUSA TENGGARA BARAT HU'U DOMPU NUSA TENGGARA BARAT;-8.79012778;118.47159167;04/08/2023;06/07/2025;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;DESA DOROPETI, DOMPU, PEKAT, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;00104530;SUKSES MANTAP SEJAHTERA, PT.;038217052017;0437480/2;Granted;;163.425;168.425;16;45.9794;01943893-000SU/2620172022;0001;BS. SMS AGRO;DESA DOROPETI;-8.39088333;117.88172222;08/06/2017;07/06/2027;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (public);Trunking;DESA KAJUJI KECAMATAN HU'U KABUPATEN DOMPU HU'U DOMPU NUSA TENGGARA BARAT 84211, HU'U DOMPU NUSA TENGGARA BARAT 84211,DOMPU,HU'U,NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;103031;NEXCOM INDONESIA, PT.;10142136072023;2354975;Granted;;420.3875;410.3875;12.5;46.9794;02738432-000SU/2620232028;0001;BS.02 NEW STAGGING;DESA KAJUJI KECAMATAN HU'U KABUPATEN DOMPU HU'U DOMPU NUSA TENGGARA BARAT 84211, HU'U DOMPU NUSA TENGGARA BARAT 84211;-8.75471389;118.41768889;04/08/2023;02/08/2028;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (public);Trunking;JALAN LINTAS LAKY DESA NANGADORO KECAMATAN HU'U KABUPATEN DOMPU NUSA TENGGARA BARAT, DOMPU, HU U, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;103031;NEXCOM INDONESIA, PT.;10136831102021;1188224;Prelim. Canceled;;426.6375;416.6375;12.5;48.9794;02493937-000SU/2620212026;0002;BS 01 NANGADORO;JALAN LINTAS LAKY DESA NANGADORO KECAMATAN HU'U KABUPATEN DOMPU NUSA TENGGARA BARAT;-8.83257778;118.41141389;21/10/2021;20/10/2025;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (public);Trunking;JALAN LINTAS LAKY DESA NANGADORO KECAMATAN HU'U KABUPAJJTEN DOMPU NUSA TENGGARA BARAT, DOMPU, HU'U, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;103031;NEXCOM INDONESIA, PT.;10137418072022;1361094;Prelim. Canceled;;429.1375;419.1375;12.5;48.9794;02586696-000SU/2620222027;0001;B.S 03 NANGADORO;JALAN LINTAS LAKY DESA NANGADORO KECAMATAN HU'U KABUPAJJTEN DOMPU NUSA TENGGARA BARAT;-8.83257778;118.41591111;05/08/2022;04/08/2025;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JL. LINGKAR UTARA KARIJAWA, DOMPU, DOMPU, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;00103494;PLN (PERSERO), PT.;036803012020;0840741;Granted;;359.1;364.1;16;45.9794;02233944-000SU/2620202025;0003;BS. GI DOMPU;JL. LINGKAR UTARA KARIJAWA;-8.53243889;118.45485;14/01/2020;13/01/2030;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JL SOEKARNO HATTA,DOMPU,DOMPU,NUSA TENGGARA BARAT,BADA;NUSA TENGGARA BARAT;DOMPU;00103494;PLN (PERSERO), PT.;039924102024;3568777;Granted;;353.15;353.15;16;45.9794;02932603-000SU/2620242029;0002;BS ULP DOMPU (19);JL SOEKARNO HATTA;-8.53777778;118.46277778;11/11/2024;10/11/2029;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JL RAYA KONTE,DOMPU,KEMPO,NUSA TENGGARA BARAT,SONGGAJA;NUSA TENGGARA BARAT;DOMPU;00103494;PLN (PERSERO), PT.;039741102024;3566421;Granted;;353.55;353.55;16;45.9794;02929880-000SU/2620242029;0001;BS LINK SAMBI (19);JL RAYA KONTE;-8.53277778;118.22222222;28/10/2024;27/10/2029;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (public);Trunking;JALAN LINTAS LAKY DESA NANGADORO KECAMATAN HU'U KABUPATEN DOMPU BUSA TENGGARA BARAT, HU'U DOMPU NUSA TENGGARA BARAT,DOMPU,HU'U,NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;103031;NEXCOM INDONESIA, PT.;10142135072023;2354835;Prelim. Canceled;;426.3875;416.3875;12.5;46.9794;02738433-000SU/2620232028;0001;BS.02 NANGADORO;JALAN LINTAS LAKY DESA NANGADORO KECAMATAN HU'U KABUPATEN DOMPU BUSA TENGGARA BARAT, HU'U DOMPU NUSA TENGGARA BARAT;-8.82444444;118.41141389;04/08/2023;06/07/2025;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (public);Trunking;KAMPUNG MADADUE DESA DAHA KECAMATAN HU'U KABUPATEN DOMPU HU'U  84211 DOMPU NUSA TENGGARA BARAT, DOMPU, HU'U, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;103031;NEXCOM INDONESIA, PT.;10137419072022;1361117;Prelim. Canceled;;428.6375;418.6375;12.5;48.9794;02586698-000SU/2620222027;0001;B.S 03 MADADUE;KAMPUNG MADADUE DESA DAHA KECAMATAN HU'U KABUPATEN DOMPU HU'U  84211 DOMPU NUSA TENGGARA BARAT;-8.78985;118.47159167;05/08/2022;04/08/2025;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (public);Trunking;KAMPUNG DOROFANDA KEC HU'U KAB DOMPU HU'U NUSA TENGGARA BARAT DOMPU HU'U NUSA TENGGARA BARAT, DOMPU, HU'U, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;103031;NEXCOM INDONESIA, PT.;10137420072022;1361132;Granted;;428.1375;418.1375;12.5;48.9794;02586697-000SU/2620222027;0001;B.S 03 DOROFANDA;KAMPUNG DOROFANDA KEC HU'U KAB DOMPU HU'U NUSA TENGGARA BARAT DOMPU HU'U NUSA TENGGARA BARAT;-8.83936389;118.45313056;05/08/2022;04/08/2027;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (public);Trunking;KAMPUNG MADADUE DESA DAHA KECAMATAN HU'U KABUPATEN DOMPU HU'U  84211 DOMPU NUSA TENGGARA BARAT, DOMPU, HU U, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;103031;NEXCOM INDONESIA, PT.;10136642082021;1154133;Prelim. Canceled;;424.6375;414.6375;12.5;48.9794;02472098-000SU/2620212026;0001;BS. MADADUE;KAMPUNG MADADUE DESA DAHA KECAMATAN HU'U KABUPATEN DOMPU HU'U  84211 DOMPU NUSA TENGGARA BARAT;-8.78985;118.47159167;10/08/2021;09/08/2025;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (public);Trunking;DESA KAJUJI KECAMATAN HU'U KABUPATEN DOMPU HUU, DOMPU NUSA TENGGARA BARAT 84211, DOMPU, HU U, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;103031;NEXCOM INDONESIA, PT.;10136640082021;1154134;Granted;;420.6375;410.6375;12.5;48.9794;02472099-000SU/2620212026;0001;BS. NEW STAGING;DESA KAJUJI KECAMATAN HU'U KABUPATEN DOMPU HUU, DOMPU NUSA TENGGARA BARAT 84211;-8.75471389;118.41768889;10/08/2021;09/08/2026;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (public);Trunking;JALAN LINTAS LAKY DESA NANGADORO KECAMATAN HU'U KABUPATEN DOMPU NUSA TENGGARA BARAT, DOMPU, HU U, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;103031;NEXCOM INDONESIA, PT.;10136831102021;1188224;Prelim. Canceled;;426.1375;416.1375;12.5;48.9794;02493936-000SU/2620212026;0001;BS NANGADORO;JALAN LINTAS LAKY DESA NANGADORO KECAMATAN HU'U KABUPATEN DOMPU NUSA TENGGARA BARAT;-8.83257778;118.41141389;21/10/2021;20/10/2025;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (public);Trunking;JALAN LINTAS LAKY DESA NANGADORO KECAMATAN HU'U KABUPATEN DOMPU NUSA TENGGARA BARAT, DOMPU, HU U, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;103031;NEXCOM INDONESIA, PT.;10136873112021;1203004;Granted;;427.6375;417.6375;12.5;48.9794;02501845-000SU/2620212026;0001;BS. NANGADORO 2;JALAN LINTAS LAKY DESA NANGADORO KECAMATAN HU'U KABUPATEN DOMPU NUSA TENGGARA BARAT;-8.83257778;118.41591111;19/11/2021;18/11/2026;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JL. LINTAS CALABAI - DS. PEKAT, PEKAT, DOMPU, NTB, DOMPU, PEKAT, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;00103494;PLN (PERSERO), PT.;033370042020;0877047;Granted;;352.6;352.6;16;45.9794;02262782-000SU/2620202025;0001;19.BS. LINK_KP PEKAT;JL. LINTAS CALABAI - DS. PEKAT, PEKAT, DOMPU, NTB;-8.25330556;117.73091667;01/04/2020;31/03/2025;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JL. TEUKU UMAR NO.10 KEL SIMPASAI, WOJA, DOMPU, NTB, DOMPU, WOJA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;00103494;PLN (PERSERO), PT.;031121032020;0871410;Granted;;352.2;352.2;16;45.9794;02256925-000SU/2620202025;0001;19.BS. ULPLTD DOMPU;JL. TEUKU UMAR NO.10 KEL SIMPASAI, WOJA, DOMPU, NTB;-8.54419444;118.44386111;19/03/2020;18/03/2025;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JL. SUMBAWA-BIMA, DOMPU, MANGGALEWA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;00103494;PLN (PERSERO), PT.;036955012020;0841173;Granted;;352.225;352.225;16;45.9794;02234436-000SU/2620202025;0001;BS. LINK_TEKASIRE;JL. SUMBAWA-BIMA;-8.54661111;118.34548889;15/01/2020;14/01/2030;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JLN. LINGKAR UTARA KARIJAWA, DOMPU, DOMPU, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;00103494;PLN (PERSERO), PT.;036130122019;0837763;Granted;;352.45;352.45;16;45.9794;02230710-000SU/2620202024;0006;BS. GI DOMPU 1;JLN. LINGKAR UTARA KARIJAWA;-8.53243889;118.45485;01/01/2020;31/12/2029;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;Jln. Teuku Umar no.10 Kel Simpasai, DOMPU, WOJA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;00103494;PLN (PERSERO), PT.;034519122019;0830204;Granted;;351.1;356.1;16;45.9794;02225073-000SU/2620192024;0004;BS. ULPLTD_DOMPU 1;Jln. Teuku Umar no.10 Kel Simpasai;-8.54419444;118.44386111;16/12/2019;15/12/2029;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JLN. TEUKU UMAR NO.10 KEL SIMPASAI, WOJA, DOMPU, NTB, DOMPU, WOJA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;00103494;PLN (PERSERO), PT.;031675072019;0745187;Granted;;359.675;364.675;16;45.9794;02139003-000SU/2620192024;0002;BS. ULPLTD DOMPU;JLN. TEUKU UMAR NO.10 KEL SIMPASAI, WOJA, DOMPU, NTB;-8.54419444;118.44386111;05/09/2019;04/09/2029;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;KAMPUNG MADADUWE DESA DAHA KECAMATAN HU'U, KABUPATEN DOMPU  HU'U 84211, DOMPU, HUU, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;00102812;SUMBAWA TIMUR MINING, PT.;035801122015;0338488;Granted;;153.175;158.175;16;49.8794;01849285-000SU/2620162021;0008;BS. NEW STAGING CAMP 2;KAMPUNG MADADUWE DESA DAHA KECAMATAN HU'U, KABUPATEN DOMPU  HU'U 84211;-8.79008333;118.47052778;11/01/2016;10/01/2026;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;KAMPUNG MADADUWE DESA DAHA KECAMATAN HU'U, KABUPATEN DOMPU  HU'U 84211, DOMPU, HUU, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;00102812;SUMBAWA TIMUR MINING, PT.;035857122015;0345611;Granted;;153.225;158.225;16;49.8794;01849325-000SU/2620162021;0007;BS. STAGING CAMP 2;KAMPUNG MADADUWE DESA DAHA KECAMATAN HU'U, KABUPATEN DOMPU  HU'U 84211;-8.79008333;118.47052778;11/01/2016;10/01/2026;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (public);Trunking;KAMPUNG DOROFANDA KEC HU'U KAB DOMPU HU'U NUSA TENGGARA BARAT, DOMPU, HU U, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;103031;NEXCOM INDONESIA, PT.;10122509112020;1008069;Granted;;421.6375;411.6375;12.5;49.77121;02383690-000SU/2620202025;0002;B.S.02 DOROFANDA;KAMPUNG DOROFANDA KEC HU'U KAB DOMPU HU'U NUSA TENGGARA BARAT;-8.83936389;118.453075;13/11/2020;12/11/2025;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (public);Trunking;DESA KAJUJI KECAMATAN HU'U KABUPATEN DOMPU HU'U, DOMPU NUSA TENGGARA BARAT 84211, DOMPU, HU U, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;103031;NEXCOM INDONESIA, PT.;10122505112020;1008071;Granted;;420.1375;410.1375;12.5;49.77121;02383692-000SU/2620202025;0001;NEW STAGING;DESA KAJUJI KECAMATAN HU'U KABUPATEN DOMPU HU'U, DOMPU NUSA TENGGARA BARAT 84211;-8.75471389;118.41768889;13/11/2020;12/11/2025;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (public);Trunking;KAMPUNG MADADUWE DESA DAHA KECAMATAN HU'U, KABUPATEN DOMPU HU'U 84211, HU'U DOMPU NUSA TENGGARA BARA, DOMPU, HU U, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;103031;NEXCOM INDONESIA, PT.;10122507112020;1008070;Prelim. Canceled;;424.1375;414.1375;12.5;49.77121;02383691-000SU/2620202025;0001;MADADUE;KAMPUNG MADADUWE DESA DAHA KECAMATAN HU'U, KABUPATEN DOMPU HU'U 84211, HU'U DOMPU NUSA TENGGARA BARA;-8.78985;118.47159167;13/11/2020;12/11/2025;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (public);Trunking;KAMPUNG DOROFANDA KEC HU'U KAB DOMPU HU'U NUSA TENGGARA BARAT, DOMPU, HU U, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;103031;NEXCOM INDONESIA, PT.;10122509112020;1008069;Granted;;421.1375;411.1375;12.5;49.77121;02383689-000SU/2620202025;0001;B.S DOROFANDA;KAMPUNG DOROFANDA KEC HU'U KAB DOMPU HU'U NUSA TENGGARA BARAT;-8.83936389;118.453075;13/11/2020;12/11/2025;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Broadcast;FM;DOMPU, WOJA, PAJO;NUSA TENGGARA BARAT;DOMPU;00113434;GEMA TAMBORA PERMAI, PT.;013063102018;0648660;Granted;;87.8;;300;66.51;02059858-000SU/2020182023;0001;GTP;Jalan Benteng no 9;-8.53919167;118.43273611;26/10/2018;25/10/2028;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;VHF;1. Radio FM, DRM  (87 – 108 MHz)
Land Mobile (private);Standard;KAMPUNG MADADUWE DESA DAHA KECAMATAN HU'U, KABUPATEN DOMPU  HU'U 84211, DOMPU, HUU, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;00102812;SUMBAWA TIMUR MINING, PT.;035801122015;0338488;Granted;;158.175;153.175;16;48.9206;01849288-000SU/2620162021;00011;REPEATER OPERASIONAL MADADUE;KAMPUNG MADADUWE DESA DAHA KECAMATAN HU'U, KABUPATEN DOMPU  HU'U 84211;-8.79008333;118.47052778;11/01/2016;10/01/2026;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;KAMPUNG MADADUWE DESA DAHA KECAMATAN HU'U, KABUPATEN DOMPU  HU'U 84211, DOMPU, HUU, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;00102812;SUMBAWA TIMUR MINING, PT.;035857122015;0345611;Granted;;158.225;153.225;16;48.9206;01849321-000SU/2620162021;00011;REPEATER EMERGENCY MADADUE;KAMPUNG MADADUWE DESA DAHA KECAMATAN HU'U, KABUPATEN DOMPU  HU'U 84211;-8.79008333;118.47052778;11/01/2016;10/01/2026;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;DESA BERINGIN JAYA KECAMATAN PEKAT, DOMPU, PEKAT, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;00104530;SUKSES MANTAP SEJAHTERA, PT.;031578082017;0487562;Granted;;160.5;155.5;16;48.0206;01956301-000SU/2620172022;0001;REPEATER LATONDA - PEKAT;DESA BERINGIN JAYA KECAMATAN PEKAT;-8.28768056;117.76655556;07/09/2017;05/09/2027;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Broadcast;FM;DOMPU, WOJA, PAJO;NUSA TENGGARA BARAT;DOMPU;1035;LEMBAGA PENYIARAN PUBLIK RADIO REPUBLIK INDONESIA;019060082020;0942903;Granted;;89.4;;300;65.3;02323824-000SU/2020202025;0001;LPP RRI DOMPU;JL.SIMPASAI WOJA;-8.54187222;118.445975;25/08/2020;24/08/2025;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;VHF;1. Radio FM, DRM  (87 – 108 MHz)
Land Mobile (private);Standard;JALAN RAYA PANTAI LAWATA, KOTA BIMA, RASANAE BARAT, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA BIMA;00117419;CV. GRAND MARINA;032020022021;1062288;Granted;;167.35;167.35;16;36.9897;02420568-000SU/0620212026;0002;HT. 02 - 05  BERGERAK DISEKITAR KEC RASANAE BARAT;JALAN RAYA PANTAI LAWATA;-8.47;118.72216667;03/02/2021;02/02/2026;;;;;KOTA BIMA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;;NUSA TENGGARA BARAT;KOTA BIMA;00103743;PELABUHAN INDONESIA (PERSERO), PT.;030830022024;3080844;Granted;;151.1;151.1;16;36.9897;02838470-000SU/0620242029;0002;HT.02 - 07 BERGERAK SEKITAR JL RE MARTADINATA TANJUNG;JL. RE MARTADINATA, TANJUNG, KEC. RASANAE BAR., KAB. BIMA, NUSA TENGGARA BAR. 84118;-8.44861111;118.715;20/03/2024;19/03/2029;;;;;KOTA BIMA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Maritime;Coast Station;JL. SULTAN MUHAMAD SALAHUDDIN, DARA,KOTA BIMA,RASANAE BARAT,NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA BIMA;00108233;PERTAMINA TRANS KONTINENTAL, PT.;0188311;140/P/SDPPI/2022/2;Granted;;156.95;161.55;7250;36.9897;;0001;BIMA RADIO;JL. SULTAN MUHAMAD SALAHUDDIN, DARA;-8.47777778;118.71138889;31/08/2023;23/06/2027;;;;;KOTA BIMA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Maritime;Coast Station;JL. SULTAN MUHAMAD SALAHUDDIN, DARA,KOTA BIMA,RASANAE BARAT,NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA BIMA;00108233;PERTAMINA TRANS KONTINENTAL, PT.;0188311;140/P/SDPPI/2022/2;Granted;;156.525;156.525;7250;36.9897;;0001;BIMA RADIO;JL. SULTAN MUHAMAD SALAHUDDIN, DARA;-8.47777778;118.71138889;31/08/2023;23/06/2027;;;;;KOTA BIMA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
